total_protein,total_keratine,hair_texture,vitamin,manganese,iron,calcium,body_water_content,stress_level,liver_data,hair_fall
312,100,14,249,87,55,333,44,41,368,4
52,207,3,425,387,1,182,26,65,41,1
170,197,11,140,199,91,414,30,54,90,4
256,334,19,358,120,3,35,48,45,65,2
309,185,58,207,329,301,345,23,90,346,4
251,266,76,316,69,131,142,62,96,273,2
467,135,33,325,348,172,33,3,34,16,1
458,57,64,304,269,290,384,97,23,175,4
271,188,32,29,308,487,65,72,47,215,5
130,113,15,277,193,372,452,98,54,77,5
359,317,81,486,187,357,31,31,68,3,0
96,203,31,126,329,358,40,10,14,237,2
140,336,81,301,439,35,498,71,91,307,3
316,282,25,225,351,20,255,6,93,28,5
325,293,28,260,290,334,136,35,46,33,4
127,495,89,366,290,232,235,42,80,177,2
5,186,25,51,157,342,274,38,36,264,0
243,321,71,277,221,25,173,81,36,26,2
103,454,74,438,459,35,393,98,79,178,3
251,268,86,210,130,62,281,26,83,295,3
308,353,8,431,368,294,348,70,75,406,0
119,402,24,136,451,265,459,67,91,80,5
314,353,82,133,358,169,499,65,77,81,1
198,396,45,207,295,330,119,7,24,416,3
437,434,78,214,262,7,235,92,97,178,4
139,23,30,118,121,276,315,39,48,56,4
390,172,45,451,111,370,197,76,76,134,0
48,497,57,7,256,361,76,13,9,275,1
263,158,4,319,21,302,464,80,91,206,3
62,74,4,433,269,28,45,97,9,33,2
455,409,46,91,15,157,467,56,35,45,1
196,276,66,301,417,285,75,41,55,333,0
346,162,90,37,217,176,236,97,77,23,5
457,390,23,130,478,94,129,57,2,302,1
362,493,90,71,187,279,99,8,77,272,0
63,473,8,254,446,279,278,6,44,488,2
477,25,98,280,293,266,108,15,76,402,3
35,310,78,36,389,476,388,8,38,436,0
125,94,42,265,220,173,405,85,62,489,5
237,182,42,122,37,174,193,78,40,285,2
440,216,69,313,270,450,60,86,79,437,4
72,316,15,213,59,32,417,10,17,433,1
450,110,93,114,27,482,114,24,81,139,0
76,353,48,245,493,307,372,47,14,175,0
259,186,46,368,281,450,429,59,28,131,3
224,301,26,339,81,285,24,90,55,333,2
94,479,28,271,287,145,13,93,58,125,4
228,401,4,215,328,42,130,59,65,231,2
412,436,0,55,389,118,221,97,30,195,1
141,325,16,494,326,362,230,98,1,282,0
233,227,39,351,76,140,93,7,31,218,3
148,63,87,366,244,37,320,41,94,52,5
378,421,7,91,57,483,306,27,92,364,3
47,107,67,197,168,168,404,68,3,301,5
91,95,72,375,223,451,281,44,7,8,5
45,495,56,48,325,270,99,71,96,413,2
5,410,6,490,34,313,217,53,30,11,0
106,474,48,457,235,470,132,31,18,301,1
309,106,99,89,296,483,336,36,76,491,3
189,31,73,154,251,34,398,58,75,239,1
467,9,27,101,359,43,76,13,37,229,4
484,303,56,89,93,251,205,61,53,184,1
213,243,91,276,467,210,251,70,11,138,3
413,428,16,216,274,419,180,95,67,149,2
326,89,68,305,113,35,401,39,58,380,0
487,49,92,135,61,52,370,81,81,382,3
77,403,85,206,180,358,384,69,47,496,1
166,468,68,45,154,235,7,79,69,74,0
206,349,53,450,154,82,26,66,47,349,0
71,234,12,323,2,179,372,96,0,287,1
417,340,82,157,485,467,282,15,84,2,5
68,264,91,245,279,192,343,90,20,27,1
285,347,37,219,484,204,314,22,38,100,3
301,218,76,374,112,455,313,91,24,135,0
295,243,98,195,409,411,197,37,6,161,4
325,223,67,97,257,150,127,80,91,45,3
272,408,18,344,378,173,185,87,69,77,2
353,161,74,2,20,146,342,77,18,382,2
340,218,69,247,426,77,63,28,27,238,4
72,327,18,36,68,391,176,79,72,477,1
291,50,16,228,98,359,417,52,42,80,5
259,330,37,360,103,150,231,17,55,427,3
74,378,0,140,370,497,65,72,7,175,2
58,433,69,360,373,248,412,15,51,318,5
448,71,74,68,60,278,453,83,57,282,0
93,482,49,2,480,486,310,2,74,198,4
350,17,70,362,365,247,484,18,8,105,1
469,284,25,91,440,316,396,52,52,343,1
491,135,21,438,457,434,321,71,64,380,5
315,3,82,486,461,181,414,50,32,418,3
98,37,84,496,482,368,493,48,40,148,5
442,373,77,264,399,380,260,65,62,84,2
480,105,93,84,115,419,449,60,99,25,1
258,139,82,203,316,177,55,3,69,120,3
189,461,54,410,215,340,257,50,95,433,5
88,99,23,450,468,170,339,6,88,303,4
229,175,47,17,160,116,92,40,53,183,5
82,276,69,57,330,209,183,64,13,77,5
267,188,9,496,312,256,132,87,69,465,3
211,409,32,119,426,476,252,27,18,448,2
384,108,82,39,22,396,360,27,9,380,3
220,209,75,10,33,26,369,88,63,98,3
333,272,55,398,254,362,191,87,81,266,4
366,102,10,0,314,238,166,45,73,364,5
28,48,80,381,117,220,100,18,80,395,1
191,392,98,2,107,343,7,70,24,338,4
244,129,22,256,139,371,74,6,34,267,4
12,221,5,354,87,301,361,11,2,364,2
7,436,99,111,352,437,375,81,7,301,2
425,208,96,290,116,9,17,37,19,447,2
295,120,26,262,449,289,25,6,66,264,0
374,491,54,178,45,300,373,26,27,286,3
235,43,39,238,194,159,455,92,96,5,5
478,52,60,84,119,321,272,93,41,394,1
407,393,99,26,49,56,385,82,63,244,0
400,138,49,49,241,257,253,13,77,378,5
229,354,84,291,135,442,222,98,32,131,4
442,142,45,384,326,257,76,34,55,91,0
195,39,4,472,258,3,218,58,3,75,1
489,406,64,1,454,248,168,73,81,37,1
348,166,16,94,110,474,211,77,64,261,1
258,25,93,386,487,483,417,91,51,59,1
370,471,5,128,393,82,77,63,78,460,4
305,112,71,203,75,422,167,70,32,443,1
30,140,32,313,61,224,67,27,83,170,5
405,58,80,439,444,388,260,44,21,493,3
325,116,64,406,323,86,471,21,5,385,1
299,346,22,418,64,20,217,36,22,263,0
495,156,52,343,220,223,489,12,6,317,5
50,150,38,450,355,2,233,32,85,15,4
89,39,55,49,261,211,477,83,69,54,0
387,104,29,322,389,156,429,69,17,110,2
392,225,78,149,301,407,93,16,65,462,1
320,376,90,170,377,498,92,86,86,183,4
41,161,91,492,303,144,392,34,16,339,4
457,459,36,428,318,310,68,56,26,492,1
50,476,1,475,456,214,367,64,98,300,4
85,63,51,396,86,383,441,51,22,358,1
385,483,5,114,295,455,272,64,72,340,2
346,222,34,199,73,45,306,8,60,427,4
236,469,5,486,296,197,87,6,2,249,3
175,321,71,258,342,272,421,86,97,461,4
136,278,70,108,232,84,499,1,78,89,0
426,300,41,87,330,18,452,33,98,287,0
180,274,15,265,248,491,343,93,76,165,3
423,240,74,224,237,180,83,12,42,55,5
57,8,21,50,306,147,190,66,50,302,5
390,446,80,464,295,243,331,1,27,384,0
45,184,49,71,423,293,5,95,47,465,5
97,36,9,438,260,477,213,65,0,59,3
136,142,74,299,260,197,396,48,41,432,4
250,434,61,483,119,92,431,50,36,450,5
216,25,3,490,312,429,335,72,47,363,0
204,82,22,111,121,486,108,87,17,228,0
170,152,68,178,385,221,54,58,2,321,0
85,44,15,66,315,412,451,34,24,393,2
224,143,26,477,433,107,132,98,97,231,3
306,316,34,471,422,137,327,30,85,246,4
423,381,31,433,138,418,195,22,7,497,0
398,420,18,378,475,62,97,32,93,215,2
150,279,89,152,485,333,399,91,38,466,4
47,461,0,152,225,214,3,85,4,249,1
222,397,48,458,427,184,64,30,1,134,4
443,448,0,438,70,106,66,64,19,238,3
4,192,39,92,216,486,115,99,0,8,4
76,49,15,397,129,181,359,53,76,479,4
464,74,28,370,499,122,259,63,58,358,2
323,213,52,313,184,150,53,4,40,389,0
393,106,67,497,462,286,379,50,9,173,4
206,394,43,382,52,209,299,93,8,23,4
159,481,93,100,246,265,192,55,34,108,4
232,132,40,74,349,334,354,59,31,237,1
97,411,77,218,237,223,323,53,0,180,2
63,266,0,267,15,247,222,66,15,172,1
371,399,78,283,284,426,259,21,69,235,2
190,284,60,286,359,252,295,43,10,206,0
492,87,38,41,133,258,452,83,39,163,2
230,84,76,448,164,478,475,90,16,401,1
415,320,76,302,360,301,443,44,26,13,5
210,461,7,421,257,84,21,98,34,448,1
71,412,25,361,18,398,312,87,86,453,5
211,446,65,469,301,474,469,48,80,414,0
445,299,61,149,35,104,247,43,36,77,5
119,107,63,226,46,476,9,60,1,112,0
289,117,44,413,264,90,304,64,50,462,1
111,375,9,381,240,423,136,22,16,161,4
207,218,85,491,37,386,67,91,60,438,2
437,402,81,460,369,430,150,43,41,189,5
129,105,86,264,456,281,85,65,83,368,3
188,46,66,383,153,272,90,2,98,395,1
253,220,11,271,40,242,471,55,19,236,5
261,2,63,101,480,422,393,89,81,455,1
465,190,39,386,403,148,31,19,66,355,3
47,185,0,346,237,5,388,69,86,371,3
215,17,64,274,202,484,456,45,74,482,1
14,236,16,15,151,197,383,17,86,178,0
176,472,78,301,275,365,494,59,48,329,1
70,479,73,297,407,23,490,98,35,427,5
31,221,63,205,229,292,310,85,90,164,0
232,63,74,210,121,364,76,50,9,382,5
52,96,68,16,194,249,113,43,77,161,0
356,75,3,175,227,65,10,84,80,50,0
11,471,63,146,123,494,394,89,64,16,0
135,177,85,238,178,136,257,52,50,383,4
327,308,36,446,356,141,249,66,6,108,2
459,196,63,17,324,466,104,71,8,347,2
385,439,70,107,268,54,4,20,1,244,3
66,382,39,419,246,252,22,1,37,214,1
184,413,98,197,71,80,433,21,66,30,0
368,315,4,489,67,58,356,37,26,38,0
195,184,35,138,110,15,152,42,53,193,5
477,293,28,287,341,480,229,69,22,356,0
469,422,63,47,358,189,327,86,74,117,4
284,138,43,364,382,8,414,25,6,266,5
462,494,17,456,342,264,124,96,42,257,5
455,110,58,370,191,299,212,55,67,399,1
288,379,63,303,481,411,283,97,53,289,2
253,360,21,284,346,445,101,16,63,118,1
16,280,51,165,149,294,221,21,85,468,1
44,433,89,105,158,454,89,39,7,359,5
394,382,70,217,260,88,402,19,48,60,5
31,162,64,201,339,493,435,4,80,312,3
349,215,72,299,401,30,302,29,8,200,1
119,349,79,29,72,332,439,97,24,340,3
382,413,91,291,421,201,38,59,13,236,4
